,fiscalDateEnding,reportedCurrency_x,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome_x,reportedCurrency_y,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome_y
20,2019-09-30,USD,1191000000,6303000000,5112000000,51328000,261000000,596000000,334000000,930000000,15000000,-185000000,15000000,185000000,-353399000,85000000,353000000,78000000,169000000,26000000,185000000,150000000,29000000,354000000,432000000,143000000,USD,32795000000,10940000000,5338000000,5338000000,3581000000,1128000000,15035000000,10190000000,3528000000,537000000,351000000,186000000,None,398000000,None,660000000,820000000,25313000000,10146000000,3468000000,3485000000,1643000000,1033000000,6061000000,1217000000,10096000000,223000000,None,11129000000,2938000000,2676000000,6040000000,None,-6188000000,0,180000000,USD,756000000,None,None,296631000,207284000,476000000,385058000,-18312000,133000000,150000000,-486000000,118000000,0,None,0,None,None,None,None,0,0,-432000,70751000,None,503000000,None,143000000
21,2019-06-30,USD,921000000,6350000000,5429000000,34829000,-167000000,647000000,324000000,1088000000,10362000,-171979000,21000,172000000,208362000,-41000000,335000000,578572000,-389000000,19000000,171979000,-389262000,-379000000,-217000000,498065000,-408000000,USD,31872597000,10181952000,4955000000,4954740000,3382358000,1147100000,12172124000,10082458000,3248310000,480833000,327358000,153475000,None,400308000,None,569748000,842978000,24722136000,9588773000,3133587000,None,1459828000,1791085000,3837762000,1328554000,9905847000,1791085000,None,9905847000,3149701000,2655720000,5715393000,None,-6331639000,179000,179118000,USD,864000000,None,None,331084000,-309115000,369537000,255010000,68672000,-457000000,-389000000,-241000000,2143000000,0,None,0,None,63502000,63502000,None,0,0,0,1040296000,None,-54662000,None,-408000000
22,2019-03-31,USD,566000000,4541000000,3975000000,80843000,-522000000,704000000,340000000,1088000000,8762000,-157453000,547000,158000000,235829000,26000000,299000000,467577000,-679000000,23000000,157453000,-667645000,-729000000,-521000000,23729000,-702000000,USD,28912524000,7677822000,2198000000,2198169000,3836850000,1046945000,11767536000,9850929000,2918587000,347880000,273568000,74312000,None,413181000,169000,464908000,801867000,22874618000,9242800000,3248827000,None,1352596000,1705711000,3632478000,1137927000,8650023000,1705711000,None,8650023000,2757176000,2475135000,4605596000,None,-5923305000,174000,173682000,USD,-640000000,None,None,310285000,926831000,339508000,279932000,99640000,809000000,-668000000,-306000000,-653000000,0,None,0,None,85257000,85257000,None,0,0,0,77953000,None,-1598468000,None,-702000000
23,2018-12-31,USD,1443000000,7226000000,5783000000,25289000,414000000,668000000,356000000,1029000000,7348000,-174723000,277000,175000000,7441796000,-14000000,313000000,496737000,162000000,22000000,174723000,1442900000,123000000,337000000,910273000,140000000,USD,29740000000,8307000000,3686000000,3685618000,3113000000,949022000,13072152000,11330000000,2699000000,350000000,282000000,68000000,None,421548000,192551000,366000000,572000000,23427000000,9993000000,3405000000,2504000000,2222000000,2567699000,13164200000,None,8411000000,2567699000,None,8410490000,372000000,2710000000,4923000000,None,-5317832000,0,172603000,USD,1235000000,None,None,302831000,-226125000,471730000,324978000,-189371000,-88000000,210000000,-365000000,-112000000,0,None,6000,None,None,None,None,0,0,0,75771000,None,1442900000,None,140000000
24,2018-09-30,USD,1524000000,6824000000,5300000000,-5312887000,416000000,730000000,351000000,1108000000,6907000,-175220000,-220000,175000000,7044874000,23000000,300000000,502825000,328000000,17000000,175220000,254673000,301000000,503000000,919582000,311000000,USD,29262713000,7920491000,2967000000,2967504000,3314127000,1155001000,12854548000,11246295000,2454339000,356702000,291476000,65226000,None,422897000,504000,325232000,431819000,23409144000,9775324000,3596984000,None,1833475000,2106538000,13232967000,None,8665163000,2106538000,None,8665163000,2595044000,2555319000,4508838000,None,-5457315000,171000,171578000,USD,1391040000,26200000,None,1052082000,578987000,300000000,510271000,587594000,55444000,254000000,-560546000,-84282000,0,None,0,None,None,None,None,0,0,0,94869000,None,528473000,None,311000000
25,2018-06-30,USD,619000000,4002000000,3383301000,2860012000,-621392000,750759000,386129000,1240322000,5064000,-163582000,None,163582000,4242047000,50911000,251800000,485255000,-704293000,13707000,163582000,-742706000,-781915000,-540711000,23272000,-718000000,USD,27910000000,6699797000,2236424000,2236424000,3324643000,569874000,12588125000,10969348000,2188723000,364690000,300406000,64284000,None,434841000,146822000,422034000,419254000,22642887000,9141362000,3030493000,None,1838909000,2103185000,12171812000,None,8626114000,2020685000,None,8626114000,2489234000,2607458000,3906421000,None,-5768831000,170000,170516000,USD,-129664000,None,None,609782000,708035000,251800000,609813000,-70633000,733475000,-742706000,-682817000,398622000,0,None,0,None,None,None,None,0,0,0,31053000,None,-434806000,None,-718000000
26,2018-03-31,USD,456000000,3409000000,2952225000,2485306000,-596974000,686404000,367096000,1053500000,5214000,-149546000,None,149546000,3482289000,-37716000,245200000,416233000,-703395000,5605000,149546000,-784627000,-659978000,-553849000,-137616000,-709000000,USD,27271429000,6383920000,2665673000,2665673000,2565826000,652848000,12226011000,10519226000,1992548000,407712000,346428000,61284000,None,449754000,120194000,379379000,415478000,21551021000,8650359000,2603498000,1354715000,1755634000,1998030000,12193428000,None,8219577000,1915530000,None,8219577000,2527543000,2561886000,4450695000,None,-5051292000,170000,169750000,USD,-398376000,None,None,324782000,541224000,245200000,655662000,169142000,322081000,-784627000,-728637000,371660000,0,None,0,None,None,None,None,0,0,0,94018000,None,-1369583000,None,-709000000
27,2017-12-31,USD,438786000,3288249000,2849199000,2381164000,-598055000,682790000,354564000,1037354000,6280000,-146363000,-259000,146104000,230580000,-41304000,None,469606000,-683990000,-8640000,146363000,438786000,-663940000,-537886000,-68280000,-675350000,USD,28655372000,6570520000,3368000000,3367914000,2263537000,515381000,11620758000,10027522000,1723794000,421739000,361502000,60237000,None,456652000,155323000,268365000,273123000,23022980000,7674670000,2390250000,2193052000,799849000,3300000,13083289000,None,8828985000,796549000,None,8832285000,130565000,2442970000,4237242000,None,-4974299000,169000,168797000,USD,509545000,None,None,389107000,-372876000,235100000,786688000,-81008000,-239970000,-771229000,-911642000,285978000,94894000,None,10847000,None,None,None,None,-175000,0,0,8941000,None,-162116000,4027000,-675350000
28,2017-09-30,USD,449140000,2984675000,2535535000,1992910000,-535480000,652998000,331622000,984620000,5531000,-117109000,None,117109000,286158000,-24390000,None,400624000,-619661000,-285000,117109000,-671163000,-609087000,-502552000,-101928000,-619376000,USD,28107074000,7068733000,3530030000,3530030000,2471382000,607734000,10916142000,9394397000,1535561000,417474000,372238000,45236000,None,463878000,138181000,321406000,231849000,21929057000,6468940000,2385778000,2034604000,375506000,51282000,13090449000,None,9049729000,324224000,None,9101011000,2021120000,2382830000,4711480000,None,-4298960000,168000,168017000,USD,-300562000,None,None,248363000,612296000,197500000,1116434000,182686000,25268000,-671163000,-1244727000,2101506000,80752000,None,11345000,None,None,None,None,0,0,0,69070000,None,494106000,8094000,-619376000
29,2017-06-30,USD,666615000,2789557000,2122942000,1676340000,-240916000,537757000,369774000,907531000,4785000,-108441000,None,108441000,272764000,-41208000,None,389171000,-320750000,15647000,108441000,-401427000,-304667000,-212309000,176862000,-336397000,USD,26043705000,6359444000,3035924000,3035924000,2438111000,453539000,9864936000,8399229000,1337411000,424613000,380847000,43766000,None,472663000,118369000,313501000,209986000,19459902000,6546355000,2359316000,1948977000,760284000,43751000,10455599000,None,6755563000,716533000,None,6799314000,1853568000,2259538000,5105752000,None,-3679584000,163000,166863000,USD,-90981000,None,None,-6234000,52186000,176600000,959068000,14498000,269188000,-401427000,-1112688000,428767000,149320000,None,None,None,None,None,None,0,0,0,-106587000,None,-970669000,15952000,-336397000
30,2017-03-31,USD,667946000,2696270000,2028324000,1675340000,-257549000,603455000,322040000,925495000,3090000,-99346000,None,99346000,208356000,-18098000,None,376602000,-304999000,25278000,99346000,-397181000,-327306000,-205653000,170949000,-330277000,USD,25053726000,7027889000,4006593000,4006593000,2220336000,440349000,8487252000,7016551000,1164943000,429592000,388608000,40984000,None,486350000,88946000,271665000,224536000,18885353000,6245439000,2075333000,1796572000,963737000,134657000,10219570000,None,6927937000,829080000,None,7062594000,1708903000,2081822000,4987719000,None,-3343187000,161000,164164000,USD,-54056000,None,None,8136000,-16037000,160100000,552624000,-91541000,124514000,-397181000,-926943000,1598749000,186355000,None,None,None,None,None,None,400175000,0,52883000,510365000,None,613377000,11382000,-330277000
31,2016-12-31,USD,435278000,2284631000,1849353000,1614167000,-266698000,456016000,245960000,701976000,2179000,-65104000,None,65104000,271827000,121224000,None,326939000,-110267000,11070000,65104000,435278000,-170387000,-45163000,281776000,-121337000,USD,22664076000,6259796000,3393000000,3393216000,2067454000,499142000,7350320000,5982957000,997485000,376145000,376145000,None,None,506302000,105519000,194465000,216751000,16750167000,5827005000,1860341000,1614916000,1114652000,130441000,8640254000,None,5892016000,984211000,None,6022457000,84492000,1891449000,4752911000,None,-2997237000,161000,161561000,USD,-1551561000,None,None,120081000,130652000,139400000,521612000,102587000,287536000,-219469000,-259406000,1372827000,212040000,None,None,None,None,None,None,0,0,0,10356000,None,308959000,-20908000,-121337000
32,2016-09-30,USD,636735000,2298436000,1661701000,1355102000,85622000,336811000,214302000,551113000,2858000,-46713000,None,46713000,231285000,-11756000,None,280468000,30011000,8133000,46713000,21878000,12995000,76724000,357192000,21878000,USD,12592397000,5172412000,3084257000,3084257000,1604571000,326895000,4470688000,4309048000,912106000,None,None,None,None,None,23711000,132978000,70646000,9900639000,4082390000,1606284000,1207101000,260771000,260771000,3762181000,None,200000000,260771000,None,200000000,-260771000,737559000,2680488000,None,-2875900000,150000,149825000,USD,148678000,None,None,474066000,89081000,126800000,247611000,109084000,-580283000,21878000,-268006000,-320870000,173144000,None,None,None,None,None,None,0,0,0,-77317000,None,-162044000,3183000,21878000
33,2016-06-30,USD,274776000,1270017000,995241000,909282000,-238040000,321152000,191664000,512816000,2242000,-46368000,None,46368000,151628000,-7373000,None,183232000,-289539000,3649000,46368000,-293188000,-272560000,-243171000,-59939000,-293188000,USD,11868952000,5203705000,3246301000,3246301000,1609607000,178594000,4145721000,3993250000,783986000,None,None,None,38300000,None,24525000,144678000,66650000,9311512000,3766404000,1114878000,851684000,626826000,626826000,3765599000,None,1756826000,626826000,1130000000,1858685000,-626826000,612344000,2520294000,None,-2897778000,148000,148015000,USD,-179188000,None,None,500253000,-185944000,111900000,294720000,-157901000,-705260000,-293188000,-319854000,1976584000,142762000,None,None,None,None,None,None,0,0,0,1759374000,None,1804512000,-2554000,-293188000
34,2016-03-31,USD,252468000,1147048000,894580000,792326000,-248224000,318210000,182482000,500692000,1251000,-40625000,None,40625000,-16815000,9177000,None,156460000,-278421000,3846000,40625000,-282267000,-265146000,-237796000,-81336000,-282267000,USD,9191702000,3239543000,1441789000,1441789000,1301961000,318056000,3707949000,3593014000,673089000,None,None,None,26800000,None,23980000,153757000,67152000,8178711000,3187699000,1013486000,800968000,635285000,635285000,3407937000,None,1855285000,635285000,1220000000,1937150000,-635285000,426611000,970365000,None,-2604590000,134000,133858000,USD,-334544000,None,None,176658000,175323000,99200000,216859000,159327000,-512671000,-282267000,-233819000,715435000,241763000,None,None,None,None,None,None,0,0,120300000,173138000,None,244881000,12870000,-282267000
35,2015-12-31,USD,218564000,1214379000,995816000,918079000,-260333000,288654000,190243000,478897000,750000,-38617000,None,38617000,-20182000,-17149000,None,143723000,-315349000,5048000,38617000,218564000,-299968000,-276732000,-133009000,-320397000,USD,8067939000,2782006000,1196908000,1196908000,1277838000,168965000,3416156000,3403334000,571126000,12816000,12816000,None,7300000,None,16700000,115667000,46858000,6936950000,2811035000,916148000,679132000,633166000,5239000,2851456000,None,441000000,627927000,1290000000,446239000,-633166000,364976000,1083704000,None,-2322323000,131000,131425000,USD,218564000,None,None,173981000,35804000,94000000,411222000,32106000,-482478000,-320397000,-414280000,225038000,343794000,None,None,None,None,None,None,-20000000,0,0,12585000,None,-229128000,-10037000,-320397000
36,2015-09-30,USD,231496000,936789000,705293000,628729000,-183662000,236367000,178791000,415158000,327000,-29308000,None,29308000,83540000,-15431000,None,110366000,-228074000,1784000,29308000,-229858000,-239039000,-198766000,-88400000,-229858000,USD,7547497000,2998795000,1426036000,1426036000,1293717000,119964000,3187977000,3103811000,472769000,None,None,None,None,None,25223000,133855000,57811000,6186660000,2553771000,824861000,73900000,751000000,124400000,713799000,15033000,1181000000,613600000,1350000000,1305400000,-651809000,336505000,1314656000,None,-2001926000,131000,130901000,USD,-155358000,None,None,39918000,22978000,71800000,392403000,-15541000,-385162000,-229858000,-404090000,893978000,163416000,None,None,None,None,None,None,None,0,0,785155000,None,275363000,-11185000,-229858000
37,2015-06-30,USD,213370000,954976000,741606000,666386000,-170188000,201846000,181712000,383558000,247000,-24352000,None,24352000,11206000,13233000,None,91389000,-181060000,3167000,24352000,-184227000,-183066000,-156708000,-65319000,-184227000,USD,6468185000,2628621000,1150673000,1150673000,1212279000,138648000,2719318000,2646017000,403869000,None,None,None,None,None,20591000,106430000,53527000,5701978000,2384388000,771637000,482573000,729913000,114300000,604024000,11254000,1369262000,609500000,1440000000,1483562000,-638275000,258142000,715934000,None,-1772068000,127000,127100947,USD,-119427000,None,None,23926000,-98447000,60800000,405165000,-60657000,-399011000,-184227000,-422837000,218351000,118574000,None,None,None,None,None,None,None,0,0,23653000,None,-359403000,4599000,-184227000
38,2015-03-31,USD,260073000,939880000,679807000,637646000,-102446000,195365000,167154000,362519000,184000,-26574000,None,26574000,-27977000,-22305000,None,77112000,-151141000,3040000,26574000,-154181000,-170124000,-124567000,-47455000,-154181000,USD,6120030000,2921417000,1510076000,1510076000,1054840000,200052000,2286552000,2224191000,342386000,None,None,None,16682000,None,20693000,135756000,48515000,5239756000,2192381000,732331000,424104000,692822000,77700000,385415000,11265000,1233708000,605500000,1170000000,1311408000,-630332000,61300000,825997000,None,-1587841000,126000,126362303,USD,-149404000,None,None,85938000,47355000,52100000,426060000,-2175000,-307209000,-154181000,-432344000,186156000,77961000,None,None,None,None,None,None,None,0,120300000,155518000,None,-395637000,-17655000,-154181000
39,2014-12-31,USD,261697000,956661000,694964000,696078000,-74838000,196970000,139565000,336535000,219000,-28703000,None,28703000,-816000,-588000,None,67976000,-103911000,3719000,28703000,261697000,-107651000,-75208000,-7232000,-107630000,USD,5830667000,3180073000,1905713000,1905713000,953675000,226604000,1883850000,1829267000,292590000,None,None,None,16673000,None,17947000,76134000,43209000,4860761000,2107166000,777946000,381096000,1212698000,601599000,2266433000,12267000,2959795000,611099000,1220000000,3561394000,-632128000,154660000,911710000,None,-1433682000,126000,125687607,USD,261697000,None,None,213743000,104428000,50800000,368661000,74486000,-377601000,-107629000,-372231000,11325000,None,None,None,None,None,None,None,None,0,0,10530000,None,-482833000,-17714000,-107630000
40,2014-09-30,USD,251851000,851804000,599953000,599953000,-39129000,155107000,135873000,290980000,300000,-29062000,None,29062000,2497000,-3090000,None,64972000,-70981000,3727000,29062000,-74708000,-74708000,-41919000,23053000,-74708000,USD,5437533000,3362914000,2370735000,2370735000,752492000,156889000,1470296000,1404326000,243447000,13420000,13420000,None,None,None,17331000,65467000,43460000,4417278000,1839777000,649362000,415891000,607218000,607218000,1090174000,12806000,2384261000,597626000,597600000,2384261000,-607218000,125997000,958094000,None,-1326041000,125000,125366171,USD,-34508000,None,None,97826000,71765000,40200000,284175000,61241000,-214531000,-74708000,-291643000,33754000,None,None,None,None,None,None,None,None,0,0,36810000,None,-286364000,-18290000,-74708000
41,2014-06-30,USD,212995000,769349000,556354000,556354000,-28753000,134031000,107717000,241748000,467000,-31238000,None,31238000,-597000,-1226000,None,54715000,-60750000,1150000,31238000,-61900000,-61900000,-29512000,25203000,-61900000,USD,5054463000,3441694000,2674910000,2686624000,596927000,96607000,1081543000,1035822000,204690000,13541000,13541000,None,None,None,11714000,61536000,38474000,4036047000,1575850000,443548000,None,603412000,603412000,964820000,14099000,1923712000,593712000,593700000,2450618000,-603412000,98902000,952333000,None,-1251327000,125000,124588213,USD,-25800000,None,None,125964000,37517000,36100000,175685000,24131000,-260398000,-61900000,2610000,281492000,None,None,None,None,None,None,None,None,300000000,50760000,68149000,None,281002000,-1438000,-61900000
42,2014-03-31,USD,155128000,620542000,465414000,466992000,-43967000,117551000,81544000,199095000,141000,-11883000,None,11883000,807000,6718000,None,44268000,-48991000,809000,11883000,-49800000,-49800000,-37108000,7160000,-49800000,USD,4500410000,3156047000,2393908000,2584068000,450730000,72380000,892634000,849389000,169335000,13662000,13662000,None,None,None,190160000,48869000,36143000,3518412000,1413470000,375778000,270706000,598272000,598272000,1836712000,12572000,1779875000,589875000,1519967000,2200754000,-598272000,70969000,912056000,None,-1189420000,124000,124040756,USD,60640000,None,None,145521000,35078000,28900000,141364000,23800000,-197734000,-49800000,-329180000,1816559000,None,None,None,None,None,None,None,None,2000000000,338400000,374126000,None,1548019000,1917000,-49800000
43,2013-12-31,USD,156590000,615219000,458630000,460490000,-13353000,101489000,68453000,169942000,92000,-6229000,None,6229000,123000,4584000,None,37585000,-14906000,1358000,6229000,156590000,-16264000,-8677000,28908000,-16264000,USD,2416930000,1265939000,845889000,848901000,340355000,49109000,768566000,738494000,140142000,13930000,13930000,None,None,None,3012000,27574000,23637000,1749810000,675160000,303969000,230856000,7904000,7904000,272303000,12855000,586301000,182000,586119000,586301000,-7904000,58197000,667120000,None,-1139620000,123000,123090990,USD,129762000,None,None,32158000,10125000,25100000,89434000,1179000,-104853000,156590000,-89505000,10516000,None,None,None,None,None,None,None,None,0,None,13088000,None,48188000,-4225000,-16264000
44,2013-09-30,USD,102868000,431346000,328478000,328478000,-30554000,77071000,56351000,133422000,68000,-6492000,None,6492000,524000,-740000,None,28450000,-37718000,778000,6492000,-38496000,-38496000,-31226000,-2776000,-38496000,USD,2166209000,1218766000,795116000,796381000,347545000,47580000,678619000,654482000,116382000,13837000,13837000,None,None,None,1265000,28525000,16027000,1524546000,1169459000,302439000,None,588473000,588473000,792407000,10931000,1702502000,582502000,582500000,1181904000,-588473000,53848000,564165000,None,-1123355000,123000,122566098,USD,102346000,None,None,-2201000,-60242000,21200000,76548000,-65964000,-229171000,-38496000,-77502000,24215000,None,None,None,None,None,None,None,None,0,None,27128000,None,48749000,310000,-38496000
45,2013-06-30,USD,100483000,405139000,304656000,304656000,-11792000,59963000,52312000,112275000,39000,-20116000,None,20116000,None,1668000,None,22198000,-30201000,301000,20116000,-30502000,-30502000,-10085000,12113000,-30502000,USD,1887844000,1129542000,746057000,747419000,254891000,113544000,626834000,595579000,94965000,14029000,14029000,None,None,None,1362000,13688000,24196000,1258418000,486545000,262227000,None,5695000,5695000,784158000,9249000,584395000,5695000,578740000,593684000,-5695000,115591000,629426000,None,-1084858000,121000,121429665,USD,-38193000,None,None,65533000,68128000,20200000,40515000,67405000,-147466000,-30502000,-27174000,597007000,None,None,None,None,None,None,None,None,0,None,212506000,None,534535000,None,-30502000
46,2013-03-31,USD,96320000,561792000,465472000,467004000,-5584000,47045000,54859000,101904000,10000,-118000,None,118000,None,17091000,None,17850000,11399000,151000,118000,11248000,11248000,11517000,29367000,11248000,USD,1143778000,525993000,214417000,231136000,237618000,46139000,614283000,581997000,74933000,14150000,14150000,None,None,None,16719000,11100000,21684000,975195000,535623000,304204000,None,56293000,56293000,471119000,10460000,420741000,50841000,388785000,439626000,-56293000,35004000,168583000,None,-1054357000,115000,115161040,USD,64079000,None,None,28318000,21714000,17400000,57727000,19297000,18220000,11248000,-55236000,3684000,None,None,None,None,None,None,None,None,0,None,17903000,None,12527000,None,11248000
47,2012-12-31,USD,23857000,306332000,282475000,283315000,-90883000,45908000,68832000,114740000,85000,-26000,None,26000,None,745000,None,12792000,-90080000,-148000,26000,23857000,-89928000,-90054000,-77262000,-89932000,USD,1114190000,524768000,201890000,220984000,268504000,26842000,585110000,552229000,57543000,14267000,14267000,None,None,None,19094000,8438000,21963000,989490000,539108000,303382000,700000,55206000,55206000,471714000,9965000,452336000,50841000,401495000,452336000,-195928000,25170000,115000,None,-1065606000,115000,114214274,USD,-37491000,None,None,110436000,18644000,11600000,41483000,17678000,-90694000,23857000,-60757000,214445000,None,None,None,None,None,None,None,None,0,None,6807000,None,116197000,None,-89932000
48,2012-09-30,USD,-8761000,50104000,58865000,58865000,-108460000,37798000,61901000,99699000,38000,-78000,None,78000,None,-2188000,None,7522000,-110688000,116000,78000,-110804000,-110804000,-110610000,-103088000,-110804000,USD,809177000,284541000,85693000,108554000,159048000,9164000,518769000,486248000,45350000,14392000,14392000,None,None,None,22861000,30636000,21911000,837052000,385806000,162025000,None,54029000,54029000,466735000,6278000,410241000,50841000,414207000,465048000,112819000,18550000,-27875000,None,-975674000,106000,105772431,USD,-101026000,None,None,78567000,-962000,6800000,68472000,-1858000,-85594000,-110804000,-64014000,40179000,None,None,None,None,None,None,None,None,33256000,None,7687000,None,-124861000,None,-110804000
49,2012-06-30,USD,4762000,26653000,21891000,21891000,-106175000,36083000,74854000,110937000,74000,-84000,None,84000,None,691000,None,4348000,-105494000,109000,84000,-105603000,-105597000,-105410000,-101062000,-105603000,USD,776869000,317126000,210554000,232514000,66669000,11023000,454045000,421859000,38381000,14508000,14508000,None,None,None,21960000,28880000,22128000,714654000,286526000,78601000,None,38098000,38098000,441740000,4720000,373537000,35637000,396155000,431792000,128962000,16114000,62215000,None,-864871000,105000,105323351,USD,-64264000,None,None,36495000,-2599000,3700000,61286000,-2567000,-12838000,-105603000,-15932000,72180000,None,None,None,None,None,None,None,None,71274000,None,1398000,None,-8016000,None,-105603000
50,2012-03-31,USD,10210000,30167000,19957000,22569000,-88763000,30582000,68391000,98973000,90000,-65000,None,65000,None,-1076000,None,4163000,-89814000,59000,65000,-89873000,-89879000,-89749000,-85586000,-89873000,USD,761100000,358897000,218570000,243600000,55427000,13589000,396403000,364128000,35058000,14508000,14508000,None,None,None,25009000,46302000,22224000,607226000,235722000,64333000,None,21864000,21864000,384879000,3721000,301294000,20194000,340323000,360517000,125067000,15705000,153874000,None,-759265000,105000,105164770,USD,-63300000,None,None,29237000,1581000,3800000,67987000,4050000,-5600000,-89873000,-66227000,92831000,None,None,None,None,None,None,None,None,84267000,None,8993000,None,-36696000,None,-89873000
51,2011-12-31,USD,7835000,39375000,31540000,31948000,-80927000,27557000,61205000,88762000,89000,3257000,None,-3257000,None,-496000,None,4804000,-81376000,112000,-3257000,7835000,-81468000,-80927000,-79829000,-81488000,USD,713448000,372838000,255266000,280300000,50082000,9539000,335260000,298414000,32222000,14508000,14508000,None,None,None,25061000,9414000,22371000,489403000,191339000,56141000,800000,8983000,8983000,311474000,2830000,276251000,7916000,268335000,276251000,123870000,14915000,104000,None,-669392000,104000,104530305,USD,-40758000,None,None,34693000,-9695000,4100000,54262000,-8711000,-2807000,7835000,28923000,53773000,None,None,None,None,None,None,None,None,51252000,None,2713000,None,41938000,None,-81488000
52,2011-09-30,USD,17224000,57666000,40442000,40442000,-64477000,27618000,54083000,81701000,80000,-1300000,None,1300000,None,-594000,None,4280000,-64991000,87000,1300000,-65078000,-65102000,-64477000,-59411000,-65078000,USD,700250000,412121000,213328000,333693000,49216000,18250000,276457000,248122000,None,14508000,14508000,None,None,None,65060000,66267000,22581000,406132000,154181000,53627000,None,388000,388000,251951000,661000,225000000,388000,225000000,225000000,97900000,14565000,294118000,None,-587903000,104000,104188831,USD,-21491000,None,None,24625000,-3755000,3700000,68844000,-5058000,2133000,-65078000,-178170000,93609000,None,None,None,None,None,None,None,None,90822000,None,2895000,None,-106052000,None,-65078000
53,2011-06-30,USD,18508000,58171000,39663000,39663000,-58739000,24716000,52531000,77247000,46000,-1200000,None,1200000,None,-71000,None,4318000,-58764000,139000,1200000,-58903000,-58903000,-58739000,-53246000,-58903000,USD,646155000,417758000,319380000,330631000,54312000,23308000,217864000,189647000,None,14508000,14508000,None,None,None,11251000,20758000,22784000,297703000,138736000,57199000,None,287000,287000,158967000,359000,134177000,287000,134177000,134177000,24993000,13357000,348452000,None,-522826000,104000,103980989,USD,-22488000,None,None,None,None,3800000,54314000,None,-7483000,-58903000,-23122000,264335000,None,None,None,None,None,None,None,None,31693000,None,None,None,218725000,None,-58903000
54,2011-03-31,USD,18028000,49030000,31002000,31002000,-47346000,24212000,41162000,65374000,None,None,None,40000,None,-1485000,None,3517000,-48791000,150000,None,None,48941000,-47346000,-43829000,-48941000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2010-12-31,USD,11321000,36286000,24965000,24965000,-51645000,25349000,37617000,62966000,None,None,None,63000,None,187000,None,2890000,-51395000,-37000,None,None,None,-51645000,-48755000,-51358000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2010-09-30,USD,9296000,31241000,21945000,21945000,-37834000,20432000,26698000,47130000,None,None,None,298000,None,3180000,None,3109000,-34852000,83000,None,None,None,-37834000,-31445000,-34935000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2010-06-30,USD,6261000,28405000,22144000,22144000,-31362000,22207000,15416000,37623000,None,None,None,464000,None,-6729000,None,2483000,-38508000,9000,None,None,None,-38044000,-28879000,-38517000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2010-03-31,USD,3852000,20812000,16960000,16960000,-25998000,29850000,13265000,29850000,None,None,None,230000,None,None,None,2141000,-29401000,118000,None,None,None,-25998000,-23857000,-29519000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
