,fiscalDateEnding,reportedCurrency_x,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome_x,reportedCurrency_y,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome_y
10,2022-03-31,USD,5460000000,18756000000,13296000000,197000000,3603000000,992000000,865000000,1857000000,28000000,-61000000,28000000,61000000,-30000000,56000000,551000000,880000000,3664000000,346000000,61000000,3280000000,3214000000,3725000000,4483000000,3318000000,USD,66038000000,29050000000,17505000000,18013000000,6691000000,2321000000,25534000000,20027000000,7266000000,454000000,254000000,200000000,18521000000,None,508000000,2035000000,2634000000,30632000000,21455000000,11171000000,3781560000,1168000000,677000000,8738000000,900000000,2253000000,1168000000,None,2930000000,309000000,3839000000,34085000000,None,3649000000,1000000,1036000000,USD,3995000000,None,None,1598000000,1942000000,552000000,1767000000,409000000,633000000,3280000000,-2167000000,-1914000000,0,None,0,None,None,None,None,0,0,0,202000000,None,-86000000,None,3318000000
11,2021-12-31,USD,4847000000,17719000000,12872000000,149000000,2613000000,1494000000,740000000,2234000000,25000000,-71000000,25000000,71000000,-47000000,68000000,530000000,848000000,2613000000,292000000,71000000,2343000000,2255000000,2684000000,3554000000,2321000000,USD,62131000000,27100000000,17576000000,17707000000,5757000000,1924000000,25281000000,18884000000,6731000000,457000000,257000000,200000000,131000000,None,131000000,1723000000,2138000000,30548000000,19705000000,10025000000,5881000000,1088000000,587000000,8260000000,991000000,4254000000,1088000000,None,4841000000,310000000,3546000000,30189000000,None,329000000,3000000,1033000000,USD,4585000000,None,None,2384000000,-5755000000,997000000,1810000000,-278000000,534000000,2343000000,-1916000000,-1257000000,0,None,0,None,None,None,None,0,0,0,262000000,None,1412000000,None,2321000000
12,2021-09-30,USD,3660000000,13757000000,10097000000,35000000,2004000000,994000000,611000000,1656000000,10000000,-126000000,10000000,126000000,-7000000,-6000000,495000000,761000000,1841000000,223000000,126000000,1659000000,1532000000,1967000000,2765000000,1618000000,USD,57834000000,25002000000,16065000000,16095000000,5199000000,1973000000,21886000000,17298000000,6232000000,470000000,269000000,201000000,30000000,1260000000,30000000,1746000000,1854000000,29340000000,18051000000,8260000000,5386000000,1207000000,698000000,7479000000,999000000,5439000000,1716000000,None,6137000000,301000000,3486000000,27053000000,None,-1990000000,1000000,1004000000,USD,3147000000,None,None,1545000000,964000000,496000000,1819000000,-135000000,488000000,1659000000,-1855000000,-1381000000,0,None,0,None,None,None,None,0,0,0,192000000,None,2154000000,None,1618000000
13,2021-06-30,USD,2884000000,11958000000,9074000000,36000000,1312000000,973000000,576000000,1572000000,11000000,-75000000,11000000,75000000,1000000,45000000,461000000,681000000,1257000000,115000000,75000000,1178000000,1205000000,1332000000,1993000000,1142000000,USD,55146000000,24693000000,16229000000,16229000000,4733000000,2140000000,19781000000,15665000000,5824000000,486000000,283000000,203000000,None,1311000000,None,1602000000,1626000000,28896000000,16371000000,7558000000,5141000000,1082000000,634000000,7054000000,993000000,6878000000,1082000000,None,7512000000,292000000,3336000000,24804000000,None,-3608000000,1000000,984000000,USD,2124000000,None,None,1061000000,1831000000,462000000,1505000000,307000000,581000000,1178000000,-1515000000,-1549000000,0,None,0,None,None,None,None,0,0,0,70000000,None,1639000000,None,1142000000
14,2021-03-31,USD,2215000000,10389000000,8174000000,75000000,594000000,1056000000,666000000,1621000000,10000000,-99000000,10000000,99000000,-2000000,28000000,424000000,621000000,507000000,69000000,99000000,464000000,218000000,606000000,1215000000,438000000,USD,52972000000,24705000000,17141000000,17141000000,4132000000,1900000000,17884000000,13868000000,5389000000,505000000,299000000,206000000,None,1331000000,None,1542000000,1587000000,28507000000,14877000000,6648000000,4886000000,1415000000,1011000000,6941000000,1034000000,8019000000,1415000000,None,9030000000,273000000,3283000000,23017000000,None,-4750000000,1000000,963000000,USD,1641000000,None,None,857000000,-441000000,426000000,2848000000,-24000000,106000000,464000000,-2582000000,-1016000000,0,None,0,None,None,None,None,0,0,0,183000000,None,-1957000000,None,438000000
15,2020-12-31,USD,2066000000,10744000000,8678000000,149000000,575000000,969000000,522000000,1491000000,6000000,-246000000,6000000,246000000,-125000000,44000000,440000000,618000000,353000000,83000000,351000000,2066000000,508000000,599000000,1193000000,270000000,USD,52148000000,26717000000,19384000000,19384000000,4101000000,1895000000,18134000000,12747000000,5117000000,520000000,313000000,207000000,None,None,None,1346000000,1536000000,28418000000,14248000000,6051000000,4668000000,1758000000,1384000000,6962000000,1094000000,8462000000,2132000000,None,9846000000,264000000,3330000000,22225000000,None,-5399000000,1000000,960000000,USD,3019000000,None,None,1774000000,122000000,875000000,1156000000,102000000,-180000000,296000000,-1047000000,2692000000,0,None,0,None,None,None,None,4987000000,0,0,5043000000,None,2066000000,None,270000000
16,2020-09-30,USD,2063000000,8771000000,6708000000,41000000,809000000,888000000,366000000,1254000000,6000000,-163000000,6000000,163000000,-161000000,-97000000,403000000,584000000,517000000,186000000,163000000,369000000,496000000,680000000,1393000000,331000000,USD,45691000000,21744000000,14531000000,14531000000,4218000000,1766000000,15478000000,11848000000,4814000000,521000000,318000000,203000000,None,None,None,1238000000,1436000000,28143000000,13302000000,4958000000,4221000000,2766000000,2406000000,6514000000,1131000000,9428000000,2766000000,None,11834000000,173000000,3049000000,16031000000,None,-5669000000,1000000,948000000,USD,2400000000,None,None,1424000000,459000000,455000000,1010000000,314000000,67000000,369000000,-1039000000,4450000000,0,None,0,None,None,None,None,4973000000,0,0,5117000000,None,772000000,None,331000000
17,2020-06-30,USD,1267000000,6036000000,4769000000,43000000,327000000,661000000,279000000,940000000,8000000,-170000000,8000000,170000000,-24000000,-15000000,356000000,567000000,125000000,21000000,170000000,129000000,177000000,295000000,894000000,104000000,USD,38135000000,15336000000,8615000000,8615000000,4018000000,1495000000,14845000000,11009000000,4430000000,508000000,312000000,196000000,None,None,None,1218000000,1415000000,26754000000,12270000000,3638000000,3938000000,3317000000,2722000000,6253000000,1169000000,9247000000,233000000,None,11969000000,179000000,2870000000,9855000000,None,-6000000000,0,186000000,USD,964000000,None,None,-51000000,-21000000,402000000,546000000,222000000,1516000000,129000000,-566000000,123000000,0,None,0,None,None,None,None,0,0,0,57000000,None,485000000,None,104000000
18,2020-03-31,USD,1234000000,5985000000,4751000000,45000000,283000000,627000000,324000000,951000000,10000000,-169000000,10000000,169000000,-26000000,-54000000,371000000,553000000,18000000,2000000,169000000,68000000,-61000000,187000000,792000000,16000000,USD,37250000000,14893000000,8080000000,8080000000,4494000000,1283000000,14356000000,10638000000,4072000000,516000000,323000000,193000000,None,None,None,1045000000,1373000000,26518000000,11986000000,3970000000,3915000000,2851000000,2256000000,5994000000,1187000000,9479000000,229000000,None,11735000000,184000000,2667000000,9173000000,None,-6104000000,0,185000000,USD,-440000000,None,None,-229000000,1109000000,417000000,455000000,14000000,-981000000,68000000,-480000000,2708000000,0,None,0,None,None,None,None,2309000000,0,0,2469000000,None,1788000000,None,16000000
19,2019-12-31,USD,1391000000,7384000000,5993000000,26000000,359000000,699000000,345000000,1032000000,10000000,-170000000,10000000,170000000,-131000000,-25000000,383000000,133000000,147000000,42000000,170000000,1391000000,189000000,317000000,450000000,105000000,USD,34309000000,12103000000,6268000000,6268000000,3552000000,1324000000,15251000000,10396000000,3734000000,537000000,339000000,198000000,None,1000000,None,959000000,1470000000,26199000000,10667000000,3771000000,3842000000,1399000000,785000000,6050000000,1232000000,10402000000,228000000,None,11187000000,260000000,2691000000,6618000000,None,-6083000000,1000000,181000000,USD,1425000000,671000000,None,654000000,144000000,566000000,412000000,217000000,-56000000,132000000,-403000000,-79000000,0,None,0,None,None,None,None,0,0,0,96000000,None,1391000000,None,105000000
